"Nombre","UrlOriginal","PaginaEncontrada","Extension","TamanoBytes","TamanoKB","Resolucion","RutaLocal","FechaDescarga"
"15.EUROPA-ESTILO-MP1-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8231/medium_screen/15.EUROPA-ESTILO-MP1-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","199575","194.9","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\15.EUROPA-ESTILO-MP1-INSIDE.jpg","7/27/2026 10:12:12 AM"
"16.EUROPA-EXQUISITA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8232/medium_screen/16.EUROPA-EXQUISITA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","158436","154.72","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\16.EUROPA-EXQUISITA-INSIDE.jpg","7/27/2026 10:12:12 AM"
"17.LA-PEQUE_A-GIRA-EUROPEA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8233/medium_screen/17.LA-PEQUE_A-GIRA-EUROPEA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","183137","178.84","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\17.LA-PEQUE_A-GIRA-EUROPEA-INSIDE.jpg","7/27/2026 10:12:13 AM"
"20.QUERIDA-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8236/medium_screen/20.QUERIDA-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","176658","172.52","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\20.QUERIDA-EUROPA-INSIDE.jpg","7/27/2026 10:12:14 AM"
"21.TURQU_A-EN-OFERTA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8237/medium_screen/21.TURQU_A-EN-OFERTA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","145001","141.6","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\21.TURQU_A-EN-OFERTA-INSIDE.jpg","7/27/2026 10:12:15 AM"
"23.MYKONOS-Y-SANTORINI-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8239/medium_screen/23.MYKONOS-Y-SANTORINI-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","173728","169.66","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\23.MYKONOS-Y-SANTORINI-INSIDE.jpg","7/27/2026 10:12:15 AM"
"1.CIUDADES-IMPERIALES-I-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8243/medium_screen/1.CIUDADES-IMPERIALES-I-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","211354","206.4","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\1.CIUDADES-IMPERIALES-I-INSIDE.jpg","7/27/2026 10:12:16 AM"
"2.ITALIA-BRILLANTE-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8244/medium_screen/2.ITALIA-BRILLANTE-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","206389","201.55","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\2.ITALIA-BRILLANTE-INSIDE.jpg","7/27/2026 10:12:17 AM"
"3.MARAVILLAS-DE-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8245/medium_screen/3.MARAVILLAS-DE-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","215379","210.33","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\3.MARAVILLAS-DE-EUROPA-INSIDE.jpg","7/27/2026 10:12:18 AM"
"4.LUCES-DE-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/picture/image/0000/8246/medium_screen/4.LUCES-DE-EUROPA-INSIDE.jpg","https://www.galeriadeviajes.com/es/categories/europa/packets",".jpg","161539","157.75","500 x 375","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\4.LUCES-DE-EUROPA-INSIDE.jpg","7/27/2026 10:12:19 AM"
